M,K,N,It1,Status,shuffle_time
512,512,512,,FAIL,
512,512,1024,1043.15,FAIL,5477.25
512,512,2560,750,FAIL,11711
512,512,4096,867,FAIL,17988
512,1024,512,940.30,FAIL,6005.20
512,1024,1024,1321.9,PASS,9733
512,1024,2560,1098,FAIL,19736
512,1024,4096,1933,FAIL,30191
512,2560,512,1716.50,FAIL,12037.10
512,2560,1024,2773.05,FAIL,19376.95
512,2560,2560,2491,FAIL,43143
512,2560,4096,6019,FAIL,61401
512,4096,512,2241.05,FAIL,18453.80
512,4096,1024,3661.35,FAIL,30269.30
512,4096,2560,5925,FAIL,63587
512,4096,4096,7620,FAIL,96626
1024,512,512,1107.65,PASS,5546.05
1024,512,1024,1551.20,FAIL,9171.30
1024,512,2560,1309,FAIL,18919
1024,512,4096,1292,FAIL,27300
1024,1024,512,1517.30,FAIL,9097.85
1024,1024,1024,2331.55,PASS,12902.4
1024,1024,2560,1791,FAIL,26215
1024,1024,4096,2729,FAIL,39780
1024,2560,512,2790.55,FAIL,19554.00
1024,2560,1024,5139.60,FAIL,27046.15
1024,2560,2560,3562,FAIL,52700
1024,2560,4096,7776,FAIL,74470
1024,4096,512,3408.45,FAIL,29244.35
1024,4096,1024,5505.05,FAIL,39485.60
1024,4096,2560,7392,FAIL,76426
1024,4096,4096,10503,FAIL,112860
2560,512,512,1030.55,PASS,11776.3
2560,512,1024,1244,FAIL,18522
2560,512,2560,2272,FAIL,39012
2560,512,4096,2644,FAIL,60623
2560,1024,512,1176,FAIL,19864
2560,1024,1024,2081.15,PASS,26778.1
2560,1024,2560,3332,FAIL,50792
2560,1024,4096,4822,FAIL,75588
2560,2560,512,2450,FAIL,42408
2560,2560,1024,3750,FAIL,53017
2560,2560,2560,9129,FAIL,88396
2560,2560,4096,12693,FAIL,122122
2560,4096,512,5994,FAIL,63138
2560,4096,1024,7304,FAIL,75567
2560,4096,2560,11859,FAIL,123156
2560,4096,4096,20216,FAIL,167218
4096,512,512,1218.5,PASS,18244.6
4096,512,1024,1527,FAIL,27915
4096,512,2560,2764,FAIL,61003
4096,512,4096,4210,FAIL,89621
4096,1024,512,2152,FAIL,29634
4096,1024,1024,2429.45,PASS,41091.8
4096,1024,2560,4294,FAIL,79064
4096,1024,4096,6602,FAIL,113384
4096,2560,512,6028,FAIL,64243
4096,2560,1024,7312,FAIL,77575
4096,2560,2560,12004,FAIL,123114
4096,2560,4096,17679,FAIL,168609
4096,4096,512,6910,FAIL,96784
4096,4096,1024,9157,FAIL,113985
4096,4096,2560,16772,FAIL,169746
4096,4096,4096,29697,FAIL,220742
